"Date(UTC)","UnixTimeStamp","Value"
"7/30/2015","1438214400","0.121"
"7/31/2015","1438300800","0.603"
"8/1/2015","1438387200","0.887"
"8/2/2015","1438473600","1.020"
"8/3/2015","1438560000","1.126"
"8/4/2015","1438646400","1.217"
"8/5/2015","1438732800","1.328"
"8/6/2015","1438819200","1.381"
"8/7/2015","1438905600","1.471"
"8/8/2015","1438992000","1.586"
"8/9/2015","1439078400","1.709"
"8/10/2015","1439164800","1.838"
"8/11/2015","1439251200","2.036"
"8/12/2015","1439337600","2.207"
"8/13/2015","1439424000","2.337"
"8/14/2015","1439510400","2.671"
"8/15/2015","1439596800","3.378"
"8/16/2015","1439683200","3.632"
"8/17/2015","1439769600","3.908"
"8/18/2015","1439856000","4.378"
"8/19/2015","1439942400","4.420"
"8/20/2015","1440028800","4.469"
"8/21/2015","1440115200","4.415"
"8/22/2015","1440201600","4.828"
"8/23/2015","1440288000","5.138"
"8/24/2015","1440374400","5.179"
"8/25/2015","1440460800","5.173"
"8/26/2015","1440547200","5.587"
"8/27/2015","1440633600","5.925"
"8/28/2015","1440720000","6.251"
"8/29/2015","1440806400","6.658"
"8/30/2015","1440892800","6.781"
"8/31/2015","1440979200","7.214"
"9/1/2015","1441065600","7.641"
"9/2/2015","1441152000","8.284"
"9/3/2015","1441238400","8.355"
"9/4/2015","1441324800","6.470"
"9/5/2015","1441411200","6.235"
"9/6/2015","1441497600","6.305"
"9/7/2015","1441584000","6.339"
"9/8/2015","1441670400","6.077"
"9/9/2015","1441756800","6.202"
"9/10/2015","1441843200","6.290"
"9/11/2015","1441929600","6.562"
"9/12/2015","1442016000","6.833"
"9/13/2015","1442102400","7.022"
"9/14/2015","1442188800","6.626"
"9/15/2015","1442275200","6.419"
"9/16/2015","1442361600","6.179"
"9/17/2015","1442448000","6.040"
"9/18/2015","1442534400","5.653"
"9/19/2015","1442620800","5.548"
"9/20/2015","1442707200","6.202"
"9/21/2015","1442793600","6.541"
"9/22/2015","1442880000","6.624"
"9/23/2015","1442966400","6.895"
"9/24/2015","1443052800","7.029"
"9/25/2015","1443139200","6.977"
"9/26/2015","1443225600","7.227"
"9/27/2015","1443312000","7.253"
"9/28/2015","1443398400","6.747"
"9/29/2015","1443484800","6.057"
"9/30/2015","1443571200","5.625"
"10/1/2015","1443657600","5.653"
"10/2/2015","1443744000","5.982"
"10/3/2015","1443830400","6.291"
"10/4/2015","1443916800","6.206"
"10/5/2015","1444003200","6.285"
"10/6/2015","1444089600","6.276"
"10/7/2015","1444176000","5.984"
"10/8/2015","1444262400","5.978"
"10/9/2015","1444348800","6.123"
"10/10/2015","1444435200","6.032"
"10/11/2015","1444521600","6.139"
"10/12/2015","1444608000","6.145"
"10/13/2015","1444694400","6.357"
"10/14/2015","1444780800","6.482"
"10/15/2015","1444867200","6.209"
"10/16/2015","1444953600","5.815"
"10/17/2015","1445040000","6.004"
"10/18/2015","1445126400","5.974"
"10/19/2015","1445212800","5.922"
"10/20/2015","1445299200","5.835"
"10/21/2015","1445385600","5.876"
"10/22/2015","1445472000","5.734"
"10/23/2015","1445558400","5.879"
"10/24/2015","1445644800","6.288"
"10/25/2015","1445731200","6.589"
"10/26/2015","1445817600","6.541"
"10/27/2015","1445904000","6.542"
"10/28/2015","1445990400","6.846"
"10/29/2015","1446076800","7.040"
"10/30/2015","1446163200","7.429"
"10/31/2015","1446249600","7.793"
"11/1/2015","1446336000","7.781"
"11/2/2015","1446422400","7.690"
"11/3/2015","1446508800","7.333"
"11/4/2015","1446595200","7.743"
"11/5/2015","1446681600","7.582"
"11/6/2015","1446768000","7.592"
"11/7/2015","1446854400","7.550"
"11/8/2015","1446940800","7.709"
"11/9/2015","1447027200","7.754"
"11/10/2015","1447113600","7.760"
"11/11/2015","1447200000","7.673"
"11/12/2015","1447286400","7.746"
"11/13/2015","1447372800","7.870"
"11/14/2015","1447459200","7.913"
"11/15/2015","1447545600","8.260"
"11/16/2015","1447632000","8.327"
"11/17/2015","1447718400","8.153"
"11/18/2015","1447804800","8.550"
"11/19/2015","1447891200","8.807"
"11/20/2015","1447977600","7.975"
"11/21/2015","1448064000","7.601"
"11/22/2015","1448150400","7.533"
"11/23/2015","1448236800","7.566"
"11/24/2015","1448323200","7.665"
"11/25/2015","1448409600","7.517"
"11/26/2015","1448496000","7.498"
"11/27/2015","1448582400","7.470"
"11/28/2015","1448668800","7.721"
"11/29/2015","1448755200","7.721"
"11/30/2015","1448841600","7.781"
"12/1/2015","1448928000","7.873"
"12/2/2015","1449014400","7.818"
"12/3/2015","1449100800","7.588"
"12/4/2015","1449187200","7.833"
"12/5/2015","1449273600","8.164"
"12/6/2015","1449360000","7.852"
"12/7/2015","1449446400","7.648"
"12/8/2015","1449532800","7.548"
"12/9/2015","1449619200","7.350"
"12/10/2015","1449705600","7.773"
"12/11/2015","1449792000","8.060"
"12/12/2015","1449878400","8.045"
"12/13/2015","1449964800","8.472"
"12/14/2015","1450051200","8.576"
"12/15/2015","1450137600","8.769"
"12/16/2015","1450224000","8.562"
"12/17/2015","1450310400","8.734"
"12/18/2015","1450396800","8.780"
"12/19/2015","1450483200","8.719"
"12/20/2015","1450569600","8.540"
"12/21/2015","1450656000","8.513"
"12/22/2015","1450742400","8.740"
"12/23/2015","1450828800","8.532"
"12/24/2015","1450915200","8.569"
"12/25/2015","1451001600","8.546"
"12/26/2015","1451088000","8.456"
"12/27/2015","1451174400","8.589"
"12/28/2015","1451260800","8.532"
"12/29/2015","1451347200","8.605"
"12/30/2015","1451433600","8.478"
"12/31/2015","1451520000","8.543"
"1/1/2016","1451606400","8.547"
"1/2/2016","1451692800","8.147"
"1/3/2016","1451779200","8.312"
"1/4/2016","1451865600","8.334"
"1/5/2016","1451952000","8.306"
"1/6/2016","1452038400","8.423"
"1/7/2016","1452124800","8.210"
"1/8/2016","1452211200","8.302"
"1/9/2016","1452297600","8.433"
"1/10/2016","1452384000","8.337"
"1/11/2016","1452470400","8.828"
"1/12/2016","1452556800","8.890"
"1/13/2016","1452643200","8.484"
"1/14/2016","1452729600","8.735"
"1/15/2016","1452816000","8.996"
"1/16/2016","1452902400","9.202"
"1/17/2016","1452988800","9.068"
"1/18/2016","1453075200","9.454"
